X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.25373235,44.95283897,0027XX 15TH AVE S,MP2020700778        ,3,2020/02/10 00:00:00+00,1021,2020/02/09 00:00:00+00,2020/02/10 10:21:00+00,1900,BIKETF  ,BIKE THEFT                    ,7,2020/02/10 00:00:00+00,16879,-93.25373613,44.95284173,-10380958,5614100,Midtown Phillips,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6599
-93.22830105,44.92778584,0041XX NOKOMIS AVE S,MP2020700780        ,3,2020/02/10 00:00:00+00,1115,2020/02/10 00:00:00+00,2020/02/10 11:15:00+00,1100,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/02/10 00:00:00+00,11885,-93.22830727,44.92778942,-10378127,5610160,Standish,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6600
-93.28054706,44.91871569,0046XX WENTWORTH AVE ,MP2020700783        ,5,2020/02/10 00:00:00+00,1158,2020/02/04 00:00:00+00,2020/02/10 11:58:00+00,1,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/02/10 00:00:00+00,12576,-93.28055223,44.91871838,-10383943,5608734,Tangletown,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6601
-93.31885123,44.9251082,,MP2020700784        ,5,2020/02/10 00:00:00+00,1248,2020/02/08 00:00:00+00,2020/02/10 12:48:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/02/10 00:00:00+00,,-93.31885,44.92511,-10388207,5609739,Linden Hills,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6602
-93.2796218,44.95821697,0024XX BLAISDELL AVE ,MP2020700786        ,5,2020/02/10 00:00:00+00,1043,2020/02/07 00:00:00+00,2020/02/10 10:43:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/02/10 00:00:00+00,16775,-93.27962189,44.95821922,-10383840,5614946,Whittier,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6603
-93.25491813,44.93503584,0037XX 14TH AVE S,MP2020700787        ,3,2020/02/10 00:00:00+00,1331,2020/02/05 00:00:00+00,2020/02/10 13:31:00+00,1830,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/02/10 00:00:00+00,12324,-93.25492266,44.93503595,-10381090,5611300,Powderhorn Park,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6604
-93.29437214,44.96001588,0022XX EMERSON AVE S,MP2020700789        ,5,2020/02/10 00:00:00+00,1343,2020/02/10 00:00:00+00,2020/02/10 13:43:00+00,100,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/02/10 00:00:00+00,21965,-93.29437459,44.96002151,-10385482,5615229,East Isles,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6605
-93.27316291,44.9799654,00001X 5TH ST N,MP2020700790        ,1,2020/02/10 00:00:00+00,1345,2020/02/08 00:00:00+00,2020/02/10 13:45:00+00,230,THEFT   ,OTHER THEFT                   ,7,2020/02/10 00:00:00+00,16701,-93.27316614,44.97996756,-10383121,5618368,Downtown West,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6606
-93.29942965,44.98337754,0005XX IRVING AVE N,MP202026309         ,4,2020/03/11 00:00:00+00,1859,2020/03/11 00:00:00+00,2020/03/11 18:59:00+00,1859,ASLT4   ,ASLT4-LESS THAN SUBST HARM    ,5,2020/01/30 00:00:00+00,15721,-93.29943207,44.98337968,-10386045,5618905,Harrison,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6607
-93.3233428,44.91792056,0034XX 47TH ST W,MP202063436         ,5,2020/03/09 00:00:00+00,1105,2020/02/20 00:00:00+00,2020/03/09 11:05:00+00,1400,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,13790,-93.32335169,44.91792374,-10388707,5608609,Linden Hills,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6608
-93.27178849,44.97736645,0006XX NICOLLET MALL  ,MP202063603         ,1,2020/03/09 00:00:00+00,1543,2020/03/09 00:00:00+00,2020/03/09 15:43:00+00,1543,SHOPLF  ,SHOPLIFTING                   ,7,2020/03/09 00:00:00+00,21933,-93.2717965,44.97736687,-10382968,5617959,Downtown West,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6609
-93.30823314,45.01235031,0030XX PENN AVE N,MP202066487         ,4,2020/03/12 00:00:00+00,1100,2020/03/12 00:00:00+00,2020/03/12 11:00:00+00,1100,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,10716,-93.30823595,45.01235203,-10387025,5623466,Jordan,2020/03/23 00:00:00+00,2020/07/15 07:00:22+00,6610
-93.234724,44.95107798,0028XX 26TH AVE S,MP202068732         ,3,2020/03/14 00:00:00+00,1502,2020/03/14 00:00:00+00,2020/03/14 15:02:00+00,1400,ROBPAG  ,ROBBERY PER AGG               ,4,2020/03/16 00:00:00+00,19096,-93.2347243,44.95108135,-10378842,5613823,Longfellow,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6611
-93.27178849,44.97736645,0006XX NICOLLET MALL  ,MP202068837         ,1,2020/03/14 00:00:00+00,2303,2020/03/14 00:00:00+00,2020/03/14 23:03:00+00,1545,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,21933,-93.2717965,44.97736687,-10382968,5617959,Downtown West,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6612
-93.28461643,44.99912667,0003XX BROADWAY AVE W,MP202069471         ,4,2020/03/15 00:00:00+00,555,2020/03/15 00:00:00+00,2020/03/15 05:55:00+00,100,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/16 00:00:00+00,17353,-93.28461789,44.99913207,-10384396,5621384,Hawthorne,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6613
-93.23465214,44.93682276,0036XX 26TH AVE S,MP202069532         ,3,2020/03/15 00:00:00+00,1051,2020/03/08 00:00:00+00,2020/03/15 10:51:00+00,1800,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/16 00:00:00+00,11453,-93.23465948,44.93682585,-10378834,5611581,Standish,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6614
-93.3020707,44.9513577,0028XX IRVING AVE S,MP202069594         ,5,2020/03/15 00:00:00+00,1612,2020/02/21 00:00:00+00,2020/03/15 16:12:00+00,1200,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/16 00:00:00+00,18592,-93.30207789,44.95136148,-10386339,5613867,East Isles,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6615
-93.25593322,44.97649587,0009XX WASHINGTON AVE S,MP202069636         ,1,2020/03/15 00:00:00+00,1342,2020/03/14 00:00:00+00,2020/03/15 13:42:00+00,1400,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/03/16 00:00:00+00,25156,-93.25593685,44.97650066,-10381203,5617822,Downtown East,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6616
-93.32716064,44.949336,0029XX EWING AVE S,MP202069648         ,5,2020/03/15 00:00:00+00,1340,2020/03/01 00:00:00+00,2020/03/15 13:40:00+00,1200,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,20381,-93.3271632,44.94933956,-10389132,5613549,CEDAR-ISLES-DEAN,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6617
-93.24616854,44.97773501,0014XX WEST RIVER PKWY ,MP202069656         ,1,2020/03/15 00:00:00+00,1448,2020/03/15 00:00:00+00,2020/03/15 14:48:00+00,1300,THEFT   ,OTHER THEFT                   ,7,2020/03/16 00:00:00+00,17238,-93.24617525,44.97773786,-10380116,5618017,Downtown East,2020/03/16 00:00:00+00,2020/07/15 07:00:22+00,6618
